# BLASTP 2.17.0+
# Query: Unknown protein sequence
# Database: /Users/Q149596/development/workspaces/explorations/phyloproject/blastdb/tsr3_db
# Fields: subject acc., alignment length, % identity, gaps, score, bit score, evalue
# 502 hits found
327740_0:00409a	324	57.716	19	828	360	3.72e-118
40147_0:003782	249	70.281	12	825	359	6.07e-118
118141_0:0005be	332	57.831	28	826	360	1.23e-117
27687_0:003d7a	329	55.927	26	824	359	2.39e-117
57060_0:002b5d	257	65.370	3	814	354	3.20e-117
886794_0:001260	264	66.288	5	818	356	5.29e-117
473457_0:0053e4	319	57.680	14	820	357	7.13e-117
82655_0:000954	258	65.891	12	817	356	1.11e-116
143302_0:0037d2	227	76.652	4	806	351	1.69e-116
76066_0:003d6d	258	65.504	3	820	357	1.84e-116
7936_0:000cac	331	56.495	29	818	356	2.09e-116
154827_0:007ee7	285	61.754	17	812	354	2.71e-116
260995_0:00337a	305	59.344	20	817	356	3.28e-116
7888_0:004765	340	52.647	32	817	356	6.23e-116
8407_0:0037eb	322	56.211	15	813	354	1.04e-115
482537_0:000466	204	82.843	0	803	350	1.32e-115
247094_0:0042da	314	55.732	6	811	353	1.54e-115
8319_0:01d3b6	259	66.023	6	819	357	1.92e-115
8319_0:01d3b6	22	54.545	1	52	26.2	0.45
7932_0:000296	337	56.380	32	813	354	2.10e-115
111125_0:0006da	263	65.399	13	814	354	2.39e-115
143900_0:009e42	261	64.751	12	810	353	5.11e-115
29144_0:001859	255	66.275	9	804	350	6.98e-115
7957_0:00c05d	270	62.963	15	802	349	1.08e-114
9031_0:002c66	264	63.258	2	804	350	2.16e-114
42526_0:00056b	255	65.098	10	800	348	2.92e-114
91767_0:0034a2	268	63.433	10	798	348	3.54e-114
75329_0:0059c1	255	64.706	10	799	348	4.04e-114
42636_0:001582	330	56.667	27	803	350	5.30e-114
30464_0:000719	248	65.323	3	799	348	1.05e-113
54380_0:00119e	239	66.527	1	793	345	1.08e-113
7913_0:005a08	256	68.750	9	800	348	1.31e-113
9103_0:002d2b	256	66.406	3	808	352	1.35e-113
93934_0:002802	256	65.234	10	799	348	1.51e-113
8022_0:005eff	300	58.333	13	798	348	1.79e-113
8018_0:000c6a	312	57.372	17	798	348	2.03e-113
8478_0:0011bd	312	59.295	14	796	347	2.16e-113
7955_0:005e44	270	62.593	15	796	347	2.39e-113
61616_0:0053ea	298	59.060	15	799	348	2.72e-113
137520_0:0024be	271	61.624	13	792	345	4.09e-113
1572043_0:0054e8	255	63.529	10	796	347	4.44e-113
7994_0:002158	255	64.706	10	793	345	4.58e-113
8851_0:0013b2	232	71.121	3	790	344	4.66e-113
7924_0:002d65	244	69.672	7	798	348	4.71e-113
84645_0:00563b	255	65.098	10	792	345	5.13e-113
70543_0:00834b	255	64.314	10	792	345	6.64e-113
1606681_0:0056c1	270	62.593	15	791	345	8.42e-113
48435_0:000a36	230	68.696	3	786	342	9.04e-113
37083_0:001285	238	65.546	3	785	342	9.24e-113
113540_0:004c64	322	59.317	15	795	346	9.38e-113
8032_0:0008f8	285	60.351	17	793	345	9.88e-113
33601_0:002435	229	68.559	2	783	341	1.14e-112
176943_0:0031e7	236	66.102	2	784	342	1.32e-112
28743_0:002376	279	59.140	11	790	344	1.73e-112
241442_0:0047f9	255	63.529	10	789	344	1.91e-112
9054_0:002b8d	256	64.062	2	791	345	3.15e-112
8005_0:002985	255	65.098	10	790	344	3.27e-112
42514_0:000ba1	255	64.706	10	788	343	3.46e-112
861768_0:00026d	285	60.000	17	790	344	3.63e-112
992332_0:00514f	255	63.922	10	787	343	3.77e-112
1118817_0:002f78	244	67.623	3	788	343	4.64e-112
8469_0:003011	312	58.013	12	788	343	5.11e-112
7897_0:003bc4	319	58.307	11	790	344	5.33e-112
8475_0:004a4b	311	57.878	10	789	344	5.44e-112
1676925_0:00592c	256	65.625	12	791	345	5.59e-112
75366_0:006cde	255	65.098	10	785	342	7.12e-112
90988_0:00195f	241	66.390	8	785	342	9.25e-112
345573_0:001234	228	67.982	3	781	340	1.10e-111
8040_0:000c21	289	59.170	24	785	342	1.93e-111
13146_0:002206	257	64.591	6	782	341	2.41e-111
9117_0:002968	282	64.539	12	784	342	2.44e-111
1112836_0:000b36	243	63.374	3	778	339	2.96e-111
2059687_0:002af1	268	59.701	9	784	342	3.04e-111
1825980_0:0030c4	312	58.333	14	783	341	3.15e-111
54374_0:0006cb	223	68.610	1	776	338	6.92e-111
445787_0:0048e3	318	56.289	9	783	341	7.17e-111
36185_0:008797	285	59.298	17	782	341	8.09e-111
238744_0:0020f2	279	59.140	11	780	340	8.18e-111
172689_0:000717	238	65.966	4	771	336	1.77e-110
1234273_0:000e44	253	62.846	6	777	338	1.83e-110
56313_0:002190	259	64.865	2	778	339	1.96e-110
7959_0:005d90	268	63.060	12	776	338	2.13e-110
52670_0:004e8c	284	57.746	11	776	338	2.29e-110
1118519_0:001b81	204	74.020	1	769	335	2.61e-110
586833_0:004808	255	63.529	11	778	339	2.79e-110
188132_0:004479	257	63.035	11	776	338	2.79e-110
365059_0:005b59	255	63.529	9	777	338	2.90e-110
13735_0:00229a	251	64.143	11	768	335	4.20e-110
1961834_0:0016ff	204	73.529	1	766	334	6.24e-110
8345_0:00511d	257	62.257	6	779	339	6.48e-110
9252_0:002b73	228	67.544	3	768	335	6.71e-110
125878_0:00009e	318	56.918	14	777	338	7.19e-110
279965_0:002a3e	221	68.778	2	767	334	7.86e-110
545262_0:001415	210	71.429	1	768	335	7.93e-110
337641_0:00006b	255	63.137	8	775	338	8.34e-110
291819_0:001498	232	68.966	11	773	337	8.71e-110
623744_0:001a29	254	63.780	10	774	337	9.56e-110
81907_0:000532	204	74.510	2	768	335	1.00e-109
7950_0:0056c2	255	63.529	10	774	337	1.01e-109
91796_0:0028c0	228	68.860	6	767	334	1.06e-109
233779_0:00325d	260	61.923	12	776	338	1.37e-109
237438_0:000980	244	66.393	2	773	337	1.47e-109
100784_0:000183	241	67.635	3	768	335	1.58e-109
8845_0:00013a	231	69.264	2	772	336	1.83e-109
33528_0:004d81	257	62.646	11	771	336	1.89e-109
8839_0:002a82	231	68.831	3	771	336	2.45e-109
8083_0:0027f9	257	62.257	11	770	335	2.82e-109
357074_0:002155	226	67.257	3	769	335	2.98e-109
2585811_0:000e51	230	65.217	1	764	333	3.60e-109
2593467_0:002a56	228	65.789	3	762	332	4.51e-109
30732_0:004582	254	63.386	11	769	335	4.52e-109
299321_0:002957	255	62.353	10	770	335	4.94e-109
461239_0:0016d4	255	65.098	3	766	334	6.72e-109
78217_0:002960	228	66.667	3	762	332	8.18e-109
109905_0:004cb7	254	62.992	11	769	335	8.80e-109
8805_0:002f55	214	70.561	4	761	332	1.17e-108
176938_0:0019f7	247	65.992	3	761	332	1.19e-108
190295_0:002df2	263	63.118	6	763	332	1.45e-108
27706_0:003cf2	271	59.410	11	770	335	1.52e-108
205130_0:0043d9	254	62.598	11	766	334	1.64e-108
1109041_0:001f6c	257	63.813	3	763	332	1.66e-108
123683_0:00432a	254	63.386	11	765	333	1.67e-108
12930_0:001f3d	221	67.421	2	757	330	1.92e-108
55661_0:0028e9	233	67.811	13	765	333	1.94e-108
181472_0:0021b5	255	63.137	13	765	333	2.32e-108
223781_0:0039a0	260	63.846	8	765	333	2.34e-108
187437_0:0017b3	251	63.347	2	761	332	2.95e-108
8175_0:0050b3	268	60.075	15	764	333	3.48e-108
148989_0:007327	255	65.490	10	763	332	3.62e-108
243314_0:002760	235	67.234	3	757	330	3.87e-108
229290_0:0010d8	271	58.303	11	765	333	3.94e-108
441366_0:00459e	274	59.124	14	764	333	4.12e-108
1352770_0:002d73	239	66.527	1	757	330	4.36e-108
8090_0:00441d	292	55.822	11	762	332	4.49e-108
215358_0:003bc3	258	61.240	11	763	332	4.60e-108
8790_0:002b7b	193	75.648	2	757	330	4.84e-108
670423_0:00534c	273	60.440	14	764	333	5.45e-108
37003_0:00415c	254	62.992	11	763	332	5.58e-108
113115_0:0009d4	237	65.823	5	759	331	6.11e-108
369639_0:005fba	268	61.567	12	760	331	7.78e-108
54017_0:001292	228	69.298	3	756	329	8.13e-108
941984_0:004cb8	254	62.205	11	762	332	9.14e-108
